MUID,PlyUID,Experimental_Date_record,Experimental_Date_file,time ended file,time started record,run_duration,Misc. Variable 1 Value,Capoxen,Timepoint,Group,Sex,Bigroup,Weight,Researcher,Experimental_Date,time started,Rig,Start_body_temperature,Mid_body_temperature,End_body_temperature,post30_body_temperature,Room_Temp,Bar_Pres,Rotometer_Flowrate,Pump Flowrate,Calibration_Volume,Notes,Genotype,Date of Birth,Tag Number
M17859,Ply1092,6/30/2017,6/30/2017,12:18:43,10:15:00,2:03:43,PM101_DR_AD_6_JunJul_2017_Hypox,Ox,6,Exp,Male,Exp,47.01,Fred,6/30/2017,10:15:00,3,36.3,,36.3,37.1,68,29.61,95,4.8,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1022,9/19/2017,9/19/2017,20:35:07,19:00:00,1:35:07,PM101_DR_AD_7_Sep_2017_Hypercap,Cap,7,Exp,Male,Exp,50.05,Fred,9/19/2017,19:00:00,3,36.8,,36.3,36.9,70,29.52,95,4.7,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply971,9/22/2017,9/22/2017,10:13:24,7:40:00,2:33:24,PM101_DR_AD_7_Sep_2017_Hypox,Ox,7,Exp,Male,Exp,48.96,Fred,9/22/2017,7:40:00,1,35.5,,38,37.3,67.5,29.61,95,5,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply159,12/8/2017,12/8/2017,17:05:07,3:25:00,13:40:07,PM101_DR_AD_8_Dec_2017_Hypercap,Cap,8,Exp,Male,Exp,51.05,Fred,12/8/2017,3:25:00,3,36.7,,36.3,37.8,73,29.85,95,4.7,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply130,12/4/2017,12/4/2017,17:18:20,15:10:00,2:08:20,PM101_DR_AD_8_Dec_2017_Hypox,Ox,8,Exp,Male,Exp,50.9,Fred,12/4/2017,3:10:00,1,36.4,,37.6,36.2,69.5,29.55,95,5,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17860,Ply1574,7/16/2016,7/16/2016,14:03:13,12:48:00,1:15:13,PM101_DR_AD_4months_OutOfDox_Hypercap,Cap,1,Tg,Female,Con,37.68,,7/16/2016,12:48:00,,37.9,,37.7,38.4,70,29.58,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1492,7/20/2016,7/20/2016,14:49:09,9:55:00,4:54:09,PM101_DR_AD_4months_OutOfDox_Hypox,Ox,1,Tg,Female,Con,37.68,,7/20/2016,9:55:00,1,38,,35.8,36.7,69.5,29.73,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1417,9/17/2016,9/17/2016,15:24:07,13:14:00,2:10:07,PM101_DR_AD_6months_OutOfDox_Hypercap,Cap,2,Tg,Female,Con,42.12,,9/17/2016,1:14:00,,37.8,,37.4,37.8,69.5,29.52,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1387,9/23/2016,9/23/2016,10:44:52,9:05:00,1:39:52,PM101_DR_AD_6months_OutOfDox_Hypox,Ox,2,Tg,Female,Con,43.29,,9/23/2016,9:05:00,,37.9,,38.2,37.9,68,29.55,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1287,12/13/2016,12/13/2016,11:33:19,8:59:00,2:34:19,PM101_DR_AD_3-9months_OutOfDox_Hypercap,Cap,3,Tg,Female,Con,46.16,,12/13/2016,8:59:00,2,36.9,,37.9,38.2,70.5,29.58,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1334,12/14/2016,12/14/2016,11:23:55,10:00:00,1:23:55,PM101_DR_AD_3-9months_OutOfDox_Hypox,Ox,3,Tg,Female,Con,46.69,Vena,12/14/2016,10:00:00,1,36.9,,38.4,38.2,71,29.7,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1265,3/13/2017,3/13/2017,14:50:40,13:10:00,1:40:40,PM101_DR_AD_4_Feb_2017_Hypercap,Cap,4,Tg,Female,Con,47.18,Ronda,3/13/2017,1:10:00,2,36.6,,37.3,37.4,71.5,29.67,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1223,3/17/2017,3/17/2017,13:25:00,11:00:00,2:25:00,PM101_DR_AD_4_Feb_2017_Hypox,Ox,4,Tg,Female,Con,46.9,Ronda,3/17/2017,11:00:00,2,36.5,,38.2,37.2,72.5,29.76,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1189,5/10/2017,5/10/2017,13:47:33,12:10:00,1:37:33,PM101_DR_AD_5_Apr_2017_Hypercap,Cap,5,Tg,Female,Con,53.21,Ronda,5/10/2017,12:10:00,2,37.4,,37.4,37.6,69,29.4,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1148,5/12/2017,5/12/2017,13:19:00,11:45:00,1:34:00,PM101_DR_AD_5_Apr_2017_Hypox,Ox,5,Tg,Female,Con,50.28,Ronda,5/12/2017,11:45:00,1,36.2,,36.6,37.1,69,29.28,95,,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1051,7/3/2017,7/3/2017,11:47:51,9:50:00,1:57:51,PM101_DR_AD_6_JunJul_2017_Hypercap,Cap,6,Tg,Female,Con,49.46,fred,7/3/2017,9:50:00,3,38,,38.4,37.4,67,29.73,95,4.7,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply1075,7/8/2017,7/8/2017,17:25:20,15:30:00,1:55:20,PM101_DR_AD_6_JunJul_2017_Hypox,Ox,6,Tg,Female,Con,48.66,Fred,7/8/2017,15:30:00,3,37.8,,37.6,37.7,68.5,29.67,95,4.7,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply994,9/26/2017,9/26/2017,14:03:55,12:10:00,1:53:55,PM101_DR_AD_7_Sep_2017_Hypercap,Cap,7,Tg,Female,Con,50.89,Fred,9/26/2017,12:10:00,3,37.1,,37.4,37.7,69,29.58,95,4.7,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply947,9/28/2017,9/28/2017,16:00:32,12:30:00,3:30:32,PM101_DR_AD_7_Sep_2017_Hypox,Ox,7,Tg,Female,Con,51.02,Fred,9/28/2017,12:30:00,1,37.2,,37.9,36.5,69,29.61,95,5,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply114,12/14/2017,12/14/2017,15:24:46,1:55:00,13:29:46,PM101_DR_AD_8_Dec_2017_Hypercap,Cap,8,Tg,Female,Con,49.23,Fred,12/14/2017,1:55:00,1,36.4,,37.5,38.2,71.5,29.64,95,4.9,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17860,Ply161,12/12/2017,12/12/2017,18:27:57,15:50:00,2:37:57,PM101_DR_AD_8_Dec_2017_Hypox,Ox,8,Tg,Female,Con,49.29,Fred,12/12/2017,3:50:00,1,37.4,,36.6,37.9,73.5,29.88,95,4.8,20,,Tg 102 tetO-APPswe/ind_NEG/Tg 102 tetO-APPswe/ind_NEG; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,52
M17861,Ply1564,7/16/2016,7/16/2016,14:06:29,12:46:00,1:20:29,PM101_DR_AD_4months_OutOfDox_Hypercap,Cap,1,Exp,Female,Exp,35.55,,7/16/2016,12:46:00,,36.8,,37.1,38.4,70,29.58,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1482,7/20/2016,7/20/2016,12:56:18,10:00:00,2:56:18,PM101_DR_AD_4months_OutOfDox_Hypox,Ox,1,Exp,Female,Exp,35.31,,7/20/2016,10:00:00,1,37.8,,37,37.5,69.5,29.73,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1416,9/17/2016,9/17/2016,15:07:49,13:09:00,1:58:49,PM101_DR_AD_6months_OutOfDox_Hypercap,Cap,2,Exp,Female,Exp,39.71,,9/17/2016,1:09:00,,36.9,,36.7,37.6,69.5,29.52,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1377,9/23/2016,9/23/2016,10:31:09,9:04:00,1:27:09,PM101_DR_AD_6months_OutOfDox_Hypox,Ox,2,Exp,Female,Exp,40.34,,9/23/2016,9:04:00,,36.9,,37.8,38.2,68,29.55,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1288,12/12/2016,12/13/2016,11:33:35,13:39:00,###############################################################################################################################################################################################################################################################,PM101_DR_AD_3-9months_OutOfDox_Hypercap,Cap,3,Exp,Female,Exp,45.32,,12/12/2016,1:39:00,2,37.4,,36.7,37.7,70,29.58,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1335,12/14/2016,12/14/2016,11:24:15,8:09:00,3:15:15,PM101_DR_AD_3-9months_OutOfDox_Hypox,Ox,3,Exp,Female,Exp,45.21,Vena,12/14/2016,8:09:00,2,37.3,,38.4,38.2,71,29.7,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1279,3/9/2017,3/9/2017,11:57:10,10:05:00,1:52:10,PM101_DR_AD_4_Feb_2017_Hypercap,Cap,4,Exp,Female,Exp,46.87,Ronda,3/9/2017,10:05:00,2,36.1,,37.2,36.7,71,29.76,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1230,3/16/2017,3/16/2017,14:28:09,12:30:00,1:58:09,PM101_DR_AD_4_Feb_2017_Hypox,Ox,4,Exp,Female,Exp,48.81,Ronda,3/16/2017,12:30:00,3,36.2,,37.2,37.4,73,29.85,95,,20,tag doesnt match (198),Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1191,5/10/2017,5/10/2017,11:31:21,10:10:00,1:21:21,PM101_DR_AD_5_Apr_2017_Hypercap,Cap,5,Exp,Female,Exp,50.81,Ronda,5/10/2017,10:10:00,2,37,,37.9,36.9,69.5,29.43,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1147,5/16/2017,5/16/2017,13:11:13,11:05:00,2:06:13,PM101_DR_AD_5_Apr_2017_Hypox,Ox,5,Exp,Female,Exp,48.18,Ronda,5/16/2017,11:05:00,2,36.9,,37.5,37.3,69,29.37,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1047,7/3/2017,7/3/2017,14:15:57,12:25:00,1:50:57,PM101_DR_AD_6_JunJul_2017_Hypercap,Cap,6,Exp,Female,Exp,49.08,fred,7/3/2017,12:25:00,2,37.3,,37.4,37.5,68.5,29.73,95,4.4,20,eartag number does not match paperwork,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1071,7/8/2017,7/8/2017,14:53:55,13:05:00,1:48:55,PM101_DR_AD_6_JunJul_2017_Hypox,Ox,6,Exp,Female,Exp,49.05,Fred,7/8/2017,13:05:00,2,36.1,,37.6,37.9,66.5,29.76,95,4.4,20,eartag does not match,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply1015,9/19/2017,9/19/2017,12:05:49,9:20:00,2:45:49,PM101_DR_AD_7_Sep_2017_Hypercap,Cap,7,Exp,Female,Exp,50.59,Fred,9/19/2017,9:20:00,1,36.6,,38.2,37.2,68.5,29.58,95,5,20,"Looks like MUID says M17801 but wrong geno/tag. I think it should be M17861, but eartag does not match. Eartag says 198 on paper but 198 does not exist in database. eartag reading error possibly. UPDATE: Fred's 0s and 6s look similar. It's M17861.",Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply960,9/20/2017,9/20/2017,17:02:35,14:45:00,2:17:35,PM101_DR_AD_7_Sep_2017_Hypox,Ox,7,Exp,Female,Exp,49.78,Fred,9/20/2017,14:45:00,2,36.8,,37.4,38.2,70,29.55,95,4.3,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply146,12/6/2017,12/6/2017,18:52:21,5:33:00,13:19:21,PM101_DR_AD_8_Dec_2017_Hypercap,Cap,8,Exp,Female,Exp,47.6,Fred,12/6/2017,5:33:00,2,37.5,,37.5,37.3,72.5,29.96,95,4.5,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17861,Ply118,12/2/2017,12/2/2017,18:58:08,16:15:00,2:43:08,PM101_DR_AD_8_Dec_2017_Hypox,Ox,8,Exp,Female,Exp,49.8,Fred,12/2/2017,4:15:00,1,36.7,,36.6,37.5,70,29.76,95,5,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,195
M17862,Ply1565,7/16/2016,7/16/2016,16:36:12,14:51:00,1:45:12,PM101_DR_AD_4months_OutOfDox_Hypercap,Cap,1,Exp,Female,Exp,35.6,,7/16/2016,2:51:00,,37.5,,37.8,38.2,71,29.52,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1483,7/20/2016,7/20/2016,14:50:29,12:34:00,2:16:29,PM101_DR_AD_4months_OutOfDox_Hypox,Ox,1,Exp,Female,Exp,36.08,,7/20/2016,12:34:00,1,36.7,,37.1,38.1,70.5,29.73,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1418,9/17/2016,9/17/2016,15:08:06,13:12:00,1:56:06,PM101_DR_AD_6months_OutOfDox_Hypercap,Cap,2,Exp,Female,Exp,41.7,,9/17/2016,1:12:00,,37,,37.9,38,69.5,29.52,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1378,9/23/2016,9/23/2016,10:44:14,9:01:00,1:43:14,PM101_DR_AD_6months_OutOfDox_Hypox,Ox,2,Exp,Female,Exp,41.4,,9/23/2016,9:01:00,,36.9,,37.9,38.1,68,29.55,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1289,12/13/2016,12/13/2016,11:33:50,8:59:00,2:34:50,PM101_DR_AD_3-9months_OutOfDox_Hypercap,Cap,3,Exp,Female,Exp,44.48,,12/13/2016,8:59:00,3,37.8,,37.3,38.1,70.5,29.58,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1336,12/14/2016,12/14/2016,11:23:33,10:02:00,1:21:33,PM101_DR_AD_3-9months_OutOfDox_Hypox,Ox,3,Exp,Female,Exp,46.19,Vena,12/14/2016,10:02:00,3,37.8,,37.7,38.2,71,29.7,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1266,3/13/2017,3/13/2017,14:52:33,13:10:00,1:42:33,PM101_DR_AD_4_Feb_2017_Hypercap,Cap,4,Exp,Female,Exp,45.72,Ronda,3/13/2017,1:10:00,3,37.1,,37.1,37.6,71.5,29.67,95,,20,"ATH 4/30/21: I have changed the Experimental Date from 3/10/2017 to 3/13/2017 because a) Rig 3 was used for Ply1271 with a start time of 1:15 on 3/10/17, which matches with Ply1272 on Rig 2 at 1:15 on 3/10/17, and b) 3/13/17 has Ply1265 on Rig 2 at 1:10 but no one on Rig 3. So this was a typo.",Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1225,3/17/2017,3/17/2017,10:27:53,9:15:00,1:12:53,PM101_DR_AD_4_Feb_2017_Hypox,Ox,4,Exp,Female,Exp,43.32,Ronda,3/17/2017,9:15:00,3,36.7,,37.2,37.6,72,29.79,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1190,5/10/2017,5/10/2017,13:48:52,12:10:00,1:38:52,PM101_DR_AD_5_Apr_2017_Hypercap,Cap,5,Exp,Female,Exp,46.76,Ronda,5/10/2017,12:10:00,3,37,,37.5,37.7,69,29.4,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1146,5/12/2017,5/12/2017,13:21:45,11:15:00,2:06:45,PM101_DR_AD_5_Apr_2017_Hypox,Ox,5,Exp,Female,Exp,46.3,Ronda,5/12/2017,11:15:00,3,36.3,,37.6,37.7,69,29.28,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1049,7/3/2017,7/3/2017,11:46:38,9:50:00,1:56:38,PM101_DR_AD_6_JunJul_2017_Hypercap,Cap,6,Exp,Female,Exp,47.87,fred,7/3/2017,9:50:00,1,36.9,,37.7,37.6,67,29.73,95,5,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply1074,7/8/2017,7/8/2017,17:24:54,15:30:00,1:54:54,PM101_DR_AD_6_JunJul_2017_Hypox,Ox,6,Exp,Female,Exp,50.7,Fred,7/8/2017,15:30:00,2,36.9,,37.9,37.5,68.5,29.67,95,4.4,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply992,9/26/2017,9/26/2017,14:03:25,12:05:00,1:58:25,PM101_DR_AD_7_Sep_2017_Hypercap,Cap,7,Exp,Female,Exp,54.28,Fred,9/26/2017,12:05:00,1,37.1,,38,37.7,69,29.5,95,5,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply949,9/28/2017,9/28/2017,16:01:00,12:38:00,3:23:00,PM101_DR_AD_7_Sep_2017_Hypox,Ox,7,Exp,Female,Exp,52.78,Fred,9/28/2017,12:38:00,3,37.6,,37.4,38.1,69,29.61,95,4.7,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply116,12/14/2017,12/14/2017,15:25:27,2:00:00,13:25:27,PM101_DR_AD_8_Dec_2017_Hypercap,Cap,8,Exp,Female,Exp,50.68,Fred,12/14/2017,2:00:00,3,37.6,,38.2,37.9,71.5,29.64,95,4.5,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17862,Ply163,12/12/2017,12/12/2017,18:28:28,15:53:00,2:35:28,PM101_DR_AD_8_Dec_2017_Hypox,Ox,8,Exp,Female,Exp,51.09,Fred,12/12/2017,3:53:00,3,37.4,,37.4,37.3,73.5,29.88,95,5,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,54
M17863,Ply1566,7/16/2016,7/17/2016,11:47:52,17:03:00,1:30:00,PM101_DR_AD_4months_OutOfDox_Hypercap,Cap,1,Exp,Female,Exp,32.51,,7/16/2016,5:03:00,,37,,37.4,37.8,72,29.52,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,55
M17863,Ply1484,7/21/2016,7/21/2016,12:07:10,10:13:00,1:54:10,PM101_DR_AD_4months_OutOfDox_Hypox,Ox,1,Exp,Female,Exp,32.1,,7/20/2016,10:13:00,1,37.8,,36.8,37.4,70,29.67,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,55
